,,  A - 2  DECADAL VARIATION  IN  POPULATION  SINCE  1901,,,,,,,,,,,,,,,
State,District,State/Union Territory,Census,Persons,Variation since the ,,Males,Females,,,,,,,,,
Code,Code,District,Year,,preceding census,,,,,,,,,,,,
,,,,,Absolute,Percentage,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,
,,,,,,,,,,,,,,,,,
18,000,ASSAM,1901," 3,289,680 ",              --- ,             ---," 1,714,316 "," 1,575,364 ",,,,,,,,,
,,,1911," 3,848,617 ",+558937,+16.99," 2,010,211 "," 1,838,406 ",,,,,,,,,
,,,1921," 4,636,980 ",+788363,+20.48," 2,445,300 "," 2,191,680 ",,,,,,,,,
,,,1931," 5,560,371 ",+923391,+19.91," 2,966,568 "," 2,593,803 ",,,,,,,,,
,,,1941," 6,694,790 ",+1134419,+20.40," 3,569,762 "," 3,125,028 ",,,,,,,,,
,,,1951," 8,028,856 ",+1334066,+19.93," 4,298,773 "," 3,730,083 ",,,,,,,,,
,,,1961," 10,837,329 ",+2808473,+34.98," 5,798,376 "," 5,038,953 ",,,,,,,,,
,,,1971," 14,625,152 ",+3787823,+34.95," 7,714,240 "," 6,910,912 ",,,,,,,,,
,,,   1981 #," 18,041,248 "," +3,416,096 ",+23.36," 9,444,037 "," 8,597,211 ",,,,,,,,,
,,,1991," 22,414,322 ",+4373074,+24.24," 11,657,989 "," 10,756,333 ",,,,,,,,,
,,,2001," 26,655,528 ",+4241206,+18.92," 13,777,037 "," 12,878,491 ",,,,,,,,,
,,,2011," 31,205,576 ",+4550048,+17.07," 15,939,443 "," 15,266,133 ",,,,,,,,,
,,,,,,,,,,,,,,,,,
18,300,Kokrajhar,1901," 79,378 ",              --- ,             ---," 41,693 "," 37,685 ",,,,,,,,,
,,,1911," 103,171 ",+23793,+29.97," 54,705 "," 48,466 ",,,,,,,,,
,,,1921," 130,947 ",+27776,+26.92," 69,830 "," 61,117 ",,,,,,,,,
,,,1931," 151,581 ",+20634,+15.76," 80,752 "," 70,829 ",,,,,,,,,
,,,1941," 174,060 ",+22479,+14.83," 92,572 "," 81,488 ",,,,,,,,,
,,,1951," 190,164 ",+16104,+9.25," 101,484 "," 88,680 ",,,,,,,,,
,,,1961," 270,930 ",+80766,+42.47," 143,182 "," 127,748 ",,,,,,,,,
,,,1971," 416,996 ",+146066,+53.91," 217,684 "," 199,312 ",,,,,,,,,
,,,1981,              --- ,              --- ,              --- ,              --- ,              --- ,,,,,,,,,
,,,1991," 744,609 ",+327613,+78.56," 383,358 "," 361,251 ",,,,,,,,,
,,,2001," 843,243 ",+98634,+13.25," 433,360 "," 409,883 ",,,,,,,,,
,,,2011," 887,142 ",+43899,+5.21," 452,905 "," 434,237 ",,,,,,,,,
,,,,,,,,,,,,,,,,,
18,301,Dhubri,1901," 191,356 ",             ---,             ---," 100,510 "," 90,846 ",,,,,,,,,
,,,1911," 248,711 ",+57355,+29.97," 131,875 "," 116,836 ",,,,,,,,,
,,,1921," 315,668 ",+66957,+26.92," 168,333 "," 147,335 ",,,,,,,,,
,,,1931," 365,409 ",+49741,+15.76," 194,665 "," 170,744 ",,,,,,,,,
,,,1941," 419,601 ",+54192,+14.83," 223,160 "," 196,441 ",,,,,,,,,
,,,1951," 458,422 ",+38821,+9.25," 244,143 "," 214,279 ",,,,,,,,,
,,,1961," 584,811 ",+126389,+27.57," 308,718 "," 276,093 ",,,,,,,,,
,,,1971," 818,103 ",+233292,+39.89," 424,103 "," 394,000 ",,,,,,,,,
,,,1981,              --- ,              --- ,              --- ,              --- ,              --- ,,,,,,,,,
,,,1991," 1,265,706 ",+447603,+54.71," 649,360 "," 616,346 ",,,,,,,,,
,,,2001," 1,566,396 ",+300690,+23.76," 804,999 "," 761,397 ",,,,,,,,,
,,,2011," 1,949,258 ",+382862,+24.44," 997,848 "," 951,410 ",,,,,,,,,
,,,,,,,,,,,,,,,,,
18,302,Goalpara,1901," 90,482 ",             ---,             ---," 47,526 "," 42,956 ",,,,,,,,,
,,,1911," 117,602 ",+27120,+29.97," 62,357 "," 55,245 ",,,,,,,,,
,,,1921," 149,263 ",+31661,+26.92," 79,596 "," 69,667 ",,,,,,,,,
,,,1931," 172,782 ",+23519,+15.76," 92,047 "," 80,735 ",,,,,,,,,
,,,1941," 198,407 ",+25625,+14.83," 105,521 "," 92,886 ",,,,,,,,,
,,,1951," 216,763 ",+18356,+9.25," 113,648 "," 103,115 ",,,,,,,,,
,,,1961," 297,178 ",+80415,+37.10," 154,952 "," 142,226 ",,,,,,,,,
,,,1971," 433,516 ",+136338,+45.88," 223,585 "," 209,931 ",,,,,,,,,
,,,1981,              --- ,              --- ,              --- ,              --- ,              --- ,,,,,,,,,
,,,1991," 668,138 ",+234622,+54.12," 343,154 "," 324,984 ",,,,,,,,,
,,,2001," 822,035 ",+153897,+23.03," 420,251 "," 401,784 ",,,,,,,,,
,,,2011," 1,008,183 ",+186148,+22.64," 513,292 "," 494,891 ",,,,,,,,,
,,,,,,,,,,,,,,,,,
18,303,Barpeta,1901," 100,258 ",             ---,             ---," 49,834 "," 50,424 ",,,,,,,,,
,,,1911," 120,332 ",+20074,+20.02," 62,525 "," 57,807 ",,,,,,,,,
,,,1921," 161,292 ",+40960,+34.04," 85,966 "," 75,326 ",,,,,,,,,
,,,1931," 272,623 ",+111331,+69.02," 145,673 "," 126,950 ",,,,,,,,,
,,,1941," 392,750 ",+120127,+44.06," 210,571 "," 182,179 ",,,,,,,,,
,,,1951," 466,475 ",+73725,+18.77," 248,997 "," 217,478 ",,,,,,,,,
,,,1961," 607,434 ",+140959,+30.22," 320,650 "," 286,784 ",,,,,,,,,
,,,1971," 828,404 ",+220970,+36.38," 433,525 "," 394,879 ",,,,,,,,,
,,,1981,              --- ,              --- ,              --- ,              --- ,              --- ,,,,,,,,,
,,,1991," 1,163,166 ",+334762,+40.41," 600,741 "," 562,425 ",,,,,,,,,
,,,2001," 1,394,755 ",+231589,+19.91," 720,069 "," 674,686 ",,,,,,,,,
,,,2011," 1,693,622 ",+298867,+21.43," 867,004 "," 826,618 ",,,,,,,,,
,,,,,,,,,,,,,,,,,
18,304,Morigaon,1901," 65,638 ",             ---,             ---," 33,424 "," 32,214 ",,,,,,,,,
,,,1911," 76,034 ",+10396,+15.84," 38,801 "," 37,233 ",,,,,,,,,
,,,1921," 100,319 ",+24285,+31.94," 52,611 "," 47,708 ",,,,,,,,,
,,,1931," 141,801 ",+41482,+41.35," 75,260 "," 66,541 ",,,,,,,,,
,,,1941," 163,602 ",+21801,+15.37," 87,740 "," 75,862 ",,,,,,,,,
,,,1951," 223,561 ",+59959,+36.65," 118,842 "," 104,719 ",,,,,,,,,
,,,1961," 308,260 ",+84699,+37.89," 163,049 "," 145,211 ",,,,,,,,,
,,,1971," 423,901 ",+115641,+37.51," 221,099 "," 202,802 ",,,,,,,,,
,,,1981,              --- ,              --- ,              --- ,              --- ,              --- ,,,,,,,,,
,,,1991," 639,682 ",+215781,+50.90," 329,613 "," 310,069 ",,,,,,,,,
,,,2001," 776,256 ",+136574,+21.35," 398,926 "," 377,330 ",,,,,,,,,
,,,2011," 957,423 ",+181167,+23.34," 486,651 "," 470,772 ",,,,,,,,,
,,,,,,,,,,,,,,,,,
18,305,Nagaon,1901," 194,534 ",             ---,             ---," 99,059 "," 95,475 ",,,,,,,,,
,,,1911," 225,344 ",+30810,+15.84," 114,996 "," 110,348 ",,,,,,,,,
,,,1921," 297,322 ",+71978,+31.94," 155,928 "," 141,394 ",,,,,,,,,
,,,1931," 420,263 ",+122941,+41.35," 223,051 "," 197,212 ",,,,,,,,,
,,,1941," 484,874 ",+64611,+15.37," 260,039 "," 224,835 ",,,,,,,,,
,,,1951," 662,579 ",+177705,+36.65," 357,293 "," 305,286 ",,,,,,,,,
,,,1961," 900,537 ",+237958,+35.91," 481,537 "," 419,000 ",,,,,,,,,
,,,1971," 1,251,636 ",+351099,+38.99," 661,015 "," 590,621 ",,,,,,,,,
,,,1981,              --- ,              --- ,              --- ,              --- ,              --- ,,,,,,,,,
,,,1991," 1,893,171 ",+641535,+51.26," 981,379 "," 911,792 ",,,,,,,,,
,,,2001," 2,314,629 ",+421458,+22.26," 1,190,950 "," 1,123,679 ",,,,,,,,,
,,,2011," 2,823,768 ",+509139,+22.00," 1,439,112 "," 1,384,656 ",,,,,,,,,
,,,,,,,,,,,,,,,,,
18,306,Sonitpur,1901," 165,545 ",             ---,             ---," 86,411 "," 79,134 ",,,,,,,,,
,,,1911," 205,825 ",+40280,+24.33," 110,471 "," 95,354 ",,,,,,,,,
,,,1921," 289,584 ",+83759,+40.69," 155,541 "," 134,043 ",,,,,,,,,
,,,1931," 348,947 ",+59363,+20.50," 190,741 "," 158,206 ",,,,,,,,,
,,,1941," 417,798 ",+68851,+19.73," 225,048 "," 192,750 ",,,,,,,,,
,,,1951," 519,169 ",+101371,+24.26," 280,092 "," 239,077 ",,,,,,,,,
,,,1961," 702,997 ",+183828,+35.41," 381,828 "," 321,169 ",,,,,,,,,
,,,1971," 895,864 ",+192867,+27.43," 478,838 "," 417,026 ",,,,,,,,,
,,,1981,              --- ,              --- ,              --- ,              --- ,              --- ,,,,,,,,,
,,,1991," 1,409,784 ",+513920,+57.36," 737,452 "," 672,332 ",,,,,,,,,
,,,2001," 1,665,125 ",+255341,+18.11," 863,298 "," 801,827 ",,,,,,,,,
,,,2011," 1,924,110 ",+258985,+15.55," 983,904 "," 940,206 ",,,,,,,,,
,,,,,,,,,,,,,,,,,
18,307,Lakhimpur,1901," 73,409 ",             ---,             ---," 39,405 "," 34,004 ",,,,,,,,,
,,,1911," 92,708 ",+19299,+26.29," 49,225 "," 43,483 ",,,,,,,,,
,,,1921," 124,296 ",+31588,+34.07," 66,469 "," 57,827 ",,,,,,,,,
,,,1931," 154,021 ",+29725,+23.91," 84,700 "," 69,321 ",,,,,,,,,
,,,1941," 188,977 ",+34956,+22.70," 102,339 "," 86,638 ",,,,,,,,,
,,,1951," 222,883 ",+33906,+17.94," 119,093 "," 103,790 ",,,,,,,,,
,,,1961," 335,346 ",+112463,+50.46," 182,074 "," 153,272 ",,,,,,,,,
,,,1971," 480,838 ",+145492,+43.39," 253,726 "," 227,112 ",,,,,,,,,
,,,1981,              --- ,              --- ,              --- ,              --- ,              --- ,,,,,,,,,
,,,1991," 751,517 ",+270679,+56.29," 389,125 "," 362,392 ",,,,,,,,,
,,,2001," 889,010 ",+137493,+18.30," 455,691 "," 433,319 ",,,,,,,,,
,,,2011," 1,042,137 ",+153127,+17.22," 529,674 "," 512,463 ",,,,,,,,,
,,,,,,,,,,,,,,,,,
18,308,Dhemaji,1901," 21,324 ",             ---,             ---," 11,446 "," 9,878 ",,,,,,,,,
,,,1911," 26,930 ",+5606,+26.29," 14,299 "," 12,631 ",,,,,,,,,
,,,1921," 36,106 ",+9176,+34.07," 19,308 "," 16,798 ",,,,,,,,,
,,,1931," 44,742 ",+8636,+23.92," 24,605 "," 20,137 ",,,,,,,,,
,,,1941," 54,896 ",+10154,+22.69," 29,728 "," 25,168 ",,,,,,,,,
,,,1951," 64,745 ",+9849,+17.94," 34,323 "," 30,422 ",,,,,,,,,
,,,1961," 113,439 ",+48694,+75.21," 60,240 "," 53,199 ",,,,,,,,,
,,,1971," 230,762 ",+117323,+103.42," 123,119 "," 107,643 ",,,,,,,,,
,,,1981,              --- ,              --- ,              --- ,              --- ,              --- ,,,,,,,,,
,,,1991," 478,830 ",+248068,+107.50," 248,457 "," 230,373 ",,,,,,,,,
,,,2001," 571,944 ",+93114,+19.45," 294,643 "," 277,301 ",,,,,,,,,
,,,2011," 686,133 ",+114189,+19.97," 351,249 "," 334,884 ",,,,,,,,,
,,,,,,,,,,,,,,,,,
18,309,Tinsukia,1901," 121,052 ",             ---,             ---," 64,978 "," 56,074 ",,,,,,,,,
,,,1911," 152,876 ",+31824,+26.29," 81,172 "," 71,704 ",,,,,,,,,
,,,1921," 204,964 ",+52088,+34.07," 109,607 "," 95,357 ",,,,,,,,,
,,,1931," 253,982 ",+49018,+23.92," 139,670 "," 114,312 ",,,,,,,,,
,,,1941," 311,626 ",+57644,+22.70," 168,758 "," 142,868 ",,,,,,,,,
,,,1951," 367,536 ",+55910,+17.94," 202,619 "," 164,917 ",,,,,,,,,
,,,1961," 499,568 ",+132032,+35.92," 276,196 "," 223,372 ",,,,,,,,,
,,,1971," 654,510 ",+154942,+31.02," 352,790 "," 301,720 ",,,,,,,,,
,,,1981,              --- ,              --- ,              --- ,              --- ,              --- ,,,,,,,,,
,,,1991," 962,298 ",+307788,+47.03," 508,948 "," 453,350 ",,,,,,,,,
,,,2001," 1,150,062 ",+187764,+19.51," 601,099 "," 548,963 ",,,,,,,,,
,,,2011," 1,327,929 ",+177867,+15.47," 680,231 "," 647,698 ",,,,,,,,,
,,,,,,,,,,,,,,,,,
18,310,Dibrugarh,1901," 155,172 ",             ---,             ---," 83,293 "," 71,879 ",,,,,,,,,
,,,1911," 195,966 ",+40794,+26.29," 104,050 "," 91,916 ",,,,,,,,,
,,,1921," 262,735 ",+66769,+34.07," 140,501 "," 122,234 ",,,,,,,,,
,,,1931," 325,568 ",+62833,+23.91," 179,037 "," 146,531 ",,,,,,,,,
,,,1941," 399,461 ",+73893,+22.70," 216,324 "," 183,137 ",,,,,,,,,
,,,1951," 471,130 ",+71669,+17.94," 257,622 "," 213,508 ",,,,,,,,,
,,,1961," 615,489 ",+144359,+30.64," 335,369 "," 280,120 ",,,,,,,,,
,,,1971," 756,609 ",+141120,+22.93," 406,228 "," 350,381 ",,,,,,,,,
,,,1981,              --- ,              --- ,              --- ,              --- ,              --- ,,,,,,,,,
,,,1991," 1,042,457 ",+285848,+37.78," 547,266 "," 495,191 ",,,,,,,,,
,,,2001," 1,185,072 ",+142615,+13.68," 613,555 "," 571,517 ",,,,,,,,,
,,,2011," 1,326,335 ",+141263,+11.92," 676,434 "," 649,901 ",,,,,,,,,
,,,,,,,,,,,,,,,,,
18,311,Sivasagar,1901," 211,764 ",             ---,             ---," 112,204 "," 99,560 ",,,,,,,,,
,,,1911," 240,158 ",+28394,+13.41," 126,710 "," 113,448 ",,,,,,,,,
,,,1921," 289,291 ",+49133,+20.46," 152,294 "," 136,997 ",,,,,,,,,
,,,1931," 331,052 ",+41761,+14.44," 175,003 "," 156,049 ",,,,,,,,,
,,,1941," 382,831 ",+51779,+15.64," 202,489 "," 180,342 ",,,,,,,,,
,,,1951," 444,011 ",+61180,+15.98," 236,766 "," 207,245 ",,,,,,,,,
,,,1961," 547,716 ",+103705,+23.36," 293,282 "," 254,434 ",,,,,,,,,
,,,1971," 654,336 ",+106620,+19.47," 346,711 "," 307,625 ",,,,,,,,,
,,,1981,              --- ,              --- ,              --- ,              --- ,              --- ,,,,,,,,,
,,,1991," 907,983 ",+253647,+38.76," 476,009 "," 431,974 ",,,,,,,,,
,,,2001," 1,051,736 ",+143753,+15.83," 545,476 "," 506,260 ",,,,,,,,,
,,,2011," 1,151,050 ",+99314,+9.44," 589,216 "," 561,834 ",,,,,,,,,
,,,,,,,,,,,,,,,,,
18,312,Jorhat,1901," 227,061 ",             ---,             ---," 120,250 "," 106,811 ",,,,,,,,,
,,,1911," 265,429 ",+38368,+16.90," 140,482 "," 124,947 ",,,,,,,,,
,,,1921," 311,255 ",+45826,+17.26," 164,575 "," 146,680 ",,,,,,,,,
,,,1931," 338,892 ",+27637,+8.88," 180,716 "," 158,176 ",,,,,,,,,
,,,1941," 390,656 ",+51764,+15.27," 208,212 "," 182,444 ",,,,,,,,,
,,,1951," 448,762 ",+58106,+14.87," 239,941 "," 208,821 ",,,,,,,,,
,,,1961," 557,219 ",+108457,+24.17," 299,819 "," 257,400 ",,,,,,,,,
,,,1971," 654,551 ",+97332,+17.47," 347,125 "," 307,426 ",,,,,,,,,
,,,1981,              --- ,              --- ,              --- ,              --- ,              --- ,,,,,,,,,
