,,,  A - 2  DECADAL VARIATION  IN  POPULATION  SINCE  1901,,,,,,,,,,,,,,,,
State,District,State/Union Territory,Census,Persons,Variation since the ,,Males,Females,,,,,,,,,,,
Code,Code,District,Year,,preceding census,,,,,,,,,,,,,,
,,,,,Absolute,Percentage,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
17,000,Meghalaya,1901," 340,524 ",                   -----,                       -----," 167,256 "," 173,268 ",,,,,,,,,,,
,,,1911," 394,005 "," +53,481 ",+15.71," 195,706 "," 198,299 ",,,,,,,,,,,
,,,1921," 422,403 "," +28,398 ",+7.21," 211,216 "," 211,187 ",,,,,,,,,,,
,,,1931," 480,837 "," +58,434 ",+13.83," 243,993 "," 236,844 ",,,,,,,,,,,
,,,1941," 555,820 "," +74,983 ",+15.59," 282,666 "," 273,154 ",,,,,,,,,,,
,,,1951," 605,674 "," +49,854 ",+8.97," 310,706 "," 294,968 ",,,,,,,,,,,
,,,1961," 769,380 "," +163,706 ",+27.03," 397,288 "," 372,092 ",,,,,,,,,,,
,,,1971," 1,011,699 "," +242,319 ",+31.50," 520,967 "," 490,732 ",,,,,,,,,,,
,,,1981," 1,335,819 "," +324,120 ",+32.04," 683,710 "," 652,109 ",,,,,,,,,,,
,,,1991," 1,774,778 "," +438,959 ",+32.86," 907,687 "," 867,091 ",,,,,,,,,,,
,,,2001," 2,318,822 "," +544,044 ",+30.65," 1,176,087 "," 1,142,735 ",,,,,,,,,,,
,,,2011," 2,966,889 "," +648,067 ",+27.95," 1,491,832 "," 1,475,057 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
17,293,West Garo Hills,1901," 79,512 ",                    ----- ,                        ----- ," 40,447 "," 39,065 ",,,,,,,,,,,
,,,1911," 91,392 ", +11880 , 14.94 ," 46,919 "," 44,473 ",,,,,,,,,,,
,,,1921," 103,038 "," 11,646 ", 12.74 ," 52,800 "," 50,238 ",,,,,,,,,,,
,,,1931," 109,780 "," 6,742 ", 6.54 ," 56,245 "," 53,535 ",,,,,,,,,,,
,,,1941," 128,559 "," 18,779 ", 17.11 ," 65,316 "," 63,243 ",,,,,,,,,,,
,,,1951," 139,199 "," 10,640 ", 8.28 ," 71,607 "," 67,592 ",,,,,,,,,,,
,,,1961," 175,800 "," 36,601 ", 26.29 ," 90,093 "," 85,707 ",,,,,,,,,,,
,,,1971," 244,040 "," 68,240 ", 38.82 ," 124,063 "," 119,977 ",,,,,,,,,,,
,,,1981," 297,040 "," 53,000 ", 21.72 ," 151,388 "," 145,652 ",,,,,,,,,,,
,,,1991," 388,873 "," 91,833 ", 30.92 ," 198,364 "," 190,509 ",,,,,,,,,,,
,,,2001," 507,309 "," 118,436 ", 30.46 ," 257,709 "," 249,600 ",,,,,,,,,,,
,,,2011," 643,291 "," 135,982 ", 26.80 ," 324,159 "," 319,132 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
17,294,East Garo Hills,1901," 35,515 ",                    ----- ,                        ----- ," 17,887 "," 17,628 ",,,,,,,,,,,
,,,1911," 40,823 "," 5,308 ", 14.95 ," 20,772 "," 20,051 ",,,,,,,,,,,
,,,1921," 45,985 "," 5,162 ", 12.64 ," 23,392 "," 22,593 ",,,,,,,,,,,
,,,1931," 49,035 "," 3,050 ", 6.63 ," 24,927 "," 24,108 ",,,,,,,,,,,
,,,1941," 57,423 "," 8,388 ", 17.11 ," 28,969 "," 28,454 ",,,,,,,,,,,
,,,1951," 62,177 "," 4,754 ", 8.28 ," 31,750 "," 30,427 ",,,,,,,,,,,
,,,1961," 78,906 "," 16,729 ", 26.91 ," 39,946 "," 38,960 ",,,,,,,,,,,
,,,1971," 103,544 "," 24,638 ", 31.22 ," 53,632 "," 49,912 ",,,,,,,,,,,
,,,1981," 137,818 "," 34,274 ", 33.10 ," 71,011 "," 66,807 ",,,,,,,,,,,
,,,1991," 190,564 "," 52,746 ", 38.27 ," 97,335 "," 93,229 ",,,,,,,,,,,
,,,2001," 252,399 "," 61,835 ", 32.45 ," 128,397 "," 124,002 ",,,,,,,,,,,
,,,2011," 317,917 "," 65,518 ", 25.96 ," 161,223 "," 156,694 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
17,295,South Garo Hills,1901," 23,247 ",                    ----- ,                        ----- ," 11,701 "," 11,546 ",,,,,,,,,,,
,,,1911," 26,721 "," 3,474 ", 14.94 ," 13,573 "," 13,148 ",,,,,,,,,,,
,,,1921," 30,117 "," 3,396 ", 12.71 ," 15,274 "," 14,843 ",,,,,,,,,,,
,,,1931," 32,096 "," 1,979 ", 6.57 ," 16,270 "," 15,826 ",,,,,,,,,,,
,,,1941," 37,587 "," 5,491 ", 17.11 ," 18,895 "," 18,692 ",,,,,,,,,,,
,,,1951," 40,699 "," 3,112 ", 8.28 ," 20,697 "," 20,002 ",,,,,,,,,,,
,,,1961," 52,522 "," 11,823 ", 29.05 ," 26,701 "," 25,821 ",,,,,,,,,,,
,,,1971," 59,031 "," 6,509 ", 12.39 ," 30,803 "," 28,228 ",,,,,,,,,,,
,,,1981," 71,569 "," 12,538 ", 21.24 ," 36,401 "," 35,168 ",,,,,,,,,,,
,,,1991," 89,493 "," 17,924 ", 25.04 ," 45,705 "," 43,788 ",,,,,,,,,,,
,,,2001," 110,244 "," 20,751 ", 23.19 ," 56,799 "," 53,445 ",,,,,,,,,,,
,,,2011," 142,334 "," 32,090 ", 29.11 ," 73,170 "," 69,164 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
17,296,West Khasi Hills,1901," 39,504 ",                   -----,                       -----," 18,990 "," 20,514 ",,,,,,,,,,,
,,,1911," 45,915 "," +6,411 ",+16.23," 22,354 "," 23,561 ",,,,,,,,,,,
,,,1921," 47,515 "," +1,600 ",+3.48," 23,390 "," 24,125 ",,,,,,,,,,,
,,,1931," 56,629 "," +9,114 ",+19.18," 28,625 "," 28,004 ",,,,,,,,,,,
,,,1941," 64,896 "," +8,267 ",+14.60," 33,104 "," 31,792 ",,,,,,,,,,,
,,,1951," 71,019 "," +6,123 ",+9.44," 36,458 "," 34,561 ",,,,,,,,,,,
,,,1961," 90,269 "," +19,250 ",+27.11," 46,848 "," 43,421 ",,,,,,,,,,,
,,,1971," 112,262 "," +21,993 ",+24.36," 57,432 "," 54,830 ",,,,,,,,,,,
,,,1981," 163,479 "," +51,217 ",+45.62," 83,901 "," 79,578 ",,,,,,,,,,,
,,,1991," 222,508 "," +59,029 ",+36.11," 114,053 "," 108,455 ",,,,,,,,,,,
,,,2001," 296,049 "," +73,541 ",+33.05," 150,419 "," 145,630 ",,,,,,,,,,,
,,,2011," 383,461 "," +87,412 ",+29.53," 193,715 "," 189,746 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
17,297,Ribhoi,1901," 16,240 ",                   -----,                       -----," 7,819 "," 8,421 ",,,,,,,,,,,
,,,1911," 18,875 "," +2,635 ",+16.23," 9,202 "," 9,673 ",,,,,,,,,,,
,,,1921," 19,533 ", +658 ,+3.49," 9,628 "," 9,905 ",,,,,,,,,,,
,,,1931," 23,280 "," +3,747 ",+19.18," 11,780 "," 11,500 ",,,,,,,,,,,
,,,1941," 26,678 "," +3,398 ",+14.60," 13,622 "," 13,056 ",,,,,,,,,,,
,,,1951," 29,196 "," +2,518 ",+9.44," 15,000 "," 14,196 ",,,,,,,,,,,
,,,1961," 37,109 "," +7,913 ",+27.10," 19,845 "," 17,264 ",,,,,,,,,,,
,,,1971," 52,733 "," +15,624 ",+42.10," 27,855 "," 24,878 ",,,,,,,,,,,
,,,1981," 99,933 "," +47,200 ",+89.51," 52,015 "," 47,918 ",,,,,,,,,,,
,,,1991," 127,312 "," +27,379 ",+27.40," 65,576 "," 61,736 ",,,,,,,,,,,
,,,2001," 192,790 "," +65,478 ",+51.43," 99,319 "," 93,471 ",,,,,,,,,,,
,,,2011," 258,840 "," +66,050 ",+34.26," 132,531 "," 126,309 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
17,298,East Khasi Hills,1901," 110,556 ",                   -----,                       -----," 53,231 "," 57,325 ",,,,,,,,,,,
,,,1911," 128,496 "," +17,940 ",+16.23," 62,644 "," 65,852 ",,,,,,,,,,,
,,,1921," 132,975 "," +4,479 ",+3.49," 65,546 "," 67,429 ",,,,,,,,,,,
,,,1931," 158,483 "," +25,508 ",+19.18," 80,197 "," 78,286 ",,,,,,,,,,,
,,,1941," 181,620 "," +23,137 ",+14.60," 92,734 "," 88,886 ",,,,,,,,,,,
,,,1951," 198,755 "," +17,135 ",+9.43," 102,117 "," 96,638 ",,,,,,,,,,,
,,,1961," 252,627 "," +53,872 ",+27.10," 133,095 "," 119,532 ",,,,,,,,,,,
,,,1971," 326,527 "," +73,900 ",+29.25," 170,372 "," 156,155 ",,,,,,,,,,,
,,,1981," 409,578 "," +83,051 ",+25.43," 209,942 "," 199,636 ",,,,,,,,,,,
,,,1991," 535,555 "," +125,977 ",+30.76," 274,901 "," 260,654 ",,,,,,,,,,,
,,,2001," 660,923 "," +125,368 ",+23.41," 333,553 "," 327,370 ",,,,,,,,,,,
,,,2011," 825,922 "," +164,999 ",+24.96," 410,749 "," 415,173 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
17,299,Jaintia Hills,1901," 35,950 ",                   -----,                       -----," 17,181 "," 18,769 ",,,,,,,,,,,
,,,1911," 41,783 "," +5,833 ",+16.23," 20,242 "," 21,541 ",,,,,,,,,,,
,,,1921," 43,240 "," +1,457 ",+3.49," 21,186 "," 22,054 ",,,,,,,,,,,
,,,1931," 51,534 "," +8,294 ",+19.18," 25,949 "," 25,585 ",,,,,,,,,,,
,,,1941," 59,057 "," +7,523 ",+14.60," 30,026 "," 29,031 ",,,,,,,,,,,
,,,1951," 64,629 "," +5,572 ",+9.43," 33,077 "," 31,552 ",,,,,,,,,,,
,,,1961," 82,147 "," +17,518 ",+27.11," 40,760 "," 41,387 ",,,,,,,,,,,
,,,1971," 113,562 "," +31,415 ",+38.24," 56,810 "," 56,752 ",,,,,,,,,,,
,,,1981," 156,402 "," +42,840 ",+37.72," 79,052 "," 77,350 ",,,,,,,,,,,
,,,1991," 220,473 "," +64,071 ",+40.97," 111,753 "," 108,720 ",,,,,,,,,,,
,,,2001," 299,108 "," +78,635 ",+35.67," 149,891 "," 149,217 ",,,,,,,,,,,
,,,2011," 395,124 "," +96,016 ",+32.10," 196,285 "," 198,839 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,